stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5
202,November - M111994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,4.2,4.8,NA,NA,NA,NA
203,November - M111994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,4.4,4.9,NA,NA,NA,NA
95,November - M111994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,9.5,14,NA,NA,NA,NA
151,November - M111994,Andhra Pradesh,Hyderabad,NA,Industrial Area,8.2,11.2,NA,31,NA,NA
152,November - M111994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",31.7,31.4,NA,200,NA,NA
150,November - M111994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",16.7,10.3,NA,167,NA,NA
202,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,3.1,8.5,NA,NA,NA,NA
203,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,25.5,7.2,NA,NA,NA,NA
95,December - M121994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,2,14.2,NA,NA,NA,NA
150,December - M121994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.6,16.6,NA,200,NA,NA
152,December - M121994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",36.8,44.7,NA,262,NA,NA
151,December - M121994,Andhra Pradesh,Hyderabad,NA,Industrial Area,13.9,14.4,NA,97,NA,NA
95,February_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.8,91.4,NA,236,NA,NA
95,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,20,59.4,NA,328,NA,NA
95,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,19.1,85.1,NA,251,NA,NA
95,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,44.3,192.4,NA,209,NA,NA
95,June_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,20.2,57.4,NA,226,NA,NA
95,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,26.8,101.7,NA,247,NA,NA
95,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,31,111.3,NA,236,NA,NA
95,November_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,40.6,87.2,NA,362,NA,NA
95,December_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,22.7,41.6,NA,284,NA,NA
150,January_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.9,17.3,NA,82,NA,NA
150,February_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.3,16.2,NA,127,NA,NA
